id,paras
GG18_Dport_m_ddmmyy,5
GG19_Dport_m_ddmmyy,18
GG1_Ddah_f_ddmmyy,71
GG20_Dport_m_ddmmyy,0
GG21_Dport_m_ddmmyy,54
GG22_sp_sex_ddmmyy,67
GG23_Dport_m_ddmmyy,11
GG27_Dport_f_300523,23
GG28_Dport_f_300523,2
GG29_Dport_f_300523,10
GG2_Ddah_f_ddmmyy,4
GG30_Dport_f_ddmmyy,0
GG31_Dport_f_ddmmyy,6
GG32_Dport_f_ddmmyy,1
GG33_Dport_m_ddmmyy,3
GG6_Dport_m_ddmmyy,4
GG7_Ddah_f_ddmmyy,8
GG8_Dport_m_ddmmyy,7
GG9_Dport_m_ddmmyy,14
GGR1345_Dport_m_ddmmyy,16
GGR1355_Ddah_f_ddmmyy,47
GGR3001_Dport_m_ddmmyy,33
GGR3002_Dport_f_ddmmyy,0
GGR5013_Dport_m_ddmmyy,40
GGR5024_Ddah_f_ddmmyy,5
HR100_Dnair_m_ddmmyy,27
HR101_Dnair_m_ddmmyy,224
HR102_Dnair_m_ddmmyy,9
HR103_Dnair_m_ddmmyy,38
HR104_Dnair_m_ddmmyy,42
HR107_Dnair_m_ddmmyy,29
HR108_Dnair_m_ddmmyy,63
HR109_Dnair_m_ddmmyy,95
HR10_sp_sex_ddmmyy,0
HR110_Dnair_m_ddmmyy,11
HR112_Dnair_m_ddmmyy,107
HR113_Dnair_m_080923,6
HR114_Dnair_m_080923,28
HR115_Dnair_m_080923,6
HR116_Dnair_f_080923,39
HR117_Duni_f_080923,25
HR118_Duni_f_080923,5
HR119_Dnair_f_00923,3
HR11_sp_sex_ddmmyy,19
HR120_Duni_f_080923,1
HR121_Duni_f_080923,0
HR122_Dnair_f_080923,32
HR123_Darm_f_080923,4
HR124_Darm_f_080923,45
HR125_Darm_f_080923,5
HR126_Darm_f_080923,11
HR127_Darm_f_080923,11
HR128_Darm_f_080923,3
HR129_Darm_f_080923,3
HR12_sp_sex_ddmmyy,1
HR130_Darm_f_080923,43
HR131_Darm_f_080923,1
HR132_Darm_f_080923,6
HR134_Darm_f_080923,3
HR135_Darm_f_080923,2
HR136_Darm_f_080923,0
HR137_Darm_f_080923,0
HR138_Darm_f_080923,5
HR139_Darm_f_080923,0
HR13_sp_sex_ddmmyy,12
HR140_Darm_f_080923,9
HR141_Duni_f_100923,1
HR142_Duni_f_100923,4
HR143_Duni_f_100923,116
HR144_Duni_f_100923,11
HR145_Duni_f_100923,2
