id,svl,lc,m,marks,eggs,pore,colour,loc,horm,sp,sex,date,RBC,hcRBC,lysRBC,paras,prop,check_rbc,check_par,check_sum
HR105,68,110r,5.9,,,1,br,hrazdan restaurant,36.15,D.nairensis,m,06062023,,,,,,,,0
HR106,62,78r,3.48,,,,,hrazdan restaurant,3.409,D.nairensis,f,06062023,,,,,,,,0
HR107,64,95r,5.3,,,1,br,hrazdan restaurant,69.41,D.nairensis,m,06062023,3449,238,18,29,0.00776647027316551,,,3734
HR108,63,124r,4.52,,,1,br,hrazdan restaurant,12.76,D.nairensis,m,06062023,3164,220,41,63,0.0180619266055046,,-5,3483
HR109,64,134,5.34,,,1,br,hrazdan restaurant,39.12,D.nairensis,m,06062023,2029,390,25,95,0.0374163056321386,25,-1,2563
HR11,69,,5.83,,,,,hrazdan restaurant,,D.nairensis,m,12052023,2227,7,2,19,0.00842572062084257,,-1,2254
HR110,65,107,5.06,,,1,br,hrazdan restaurant,87.29,D.nairensis,m,06062023,3995,300,24,11,0.00254041570438799,,,4330
HR111,63,113,4.84,,,1,br,hrazdan restaurant,27.32,D.nairensis,m,06062023,,,,,,,,0
HR112,63,19r,4.27,,,1,br,hrazdan restaurant,23.39,D.nairensis,m,06062023,4163,183,40,107,0.0238148230580904,,,4493
HR113,59,74r,3.4,,,0,0.5,hrazdan restaurant,3.50,D.nairensis,m,08092023,3663,210,6,6,0.00154440154440154,,-3,3882
HR114,63,124r,4.8,,,0,0.5,hrazdan restaurant,7.90,D.nairensis,m,08092023,4109,73,9,28,0.00663664375444418,,2,4221
HR115,58,128,3.5,,,0,0,hrazdan restaurant,5.80,D.nairensis,m,08092023,3623,218,14,6,0.00155400155400155,,-2,3859
HR116,56,85r,2.8,0,0,,,hrazdan restaurant,7.61,D.nairensis,f,08092023,1209,49,2,39,0.0300230946882217,130,16,1445
HR117,66,117r,4.6,0,0,,,hrazdan restaurant,2.7,D.unisexualis,f,08092023,3217,522,29,25,0.00659108884787767,26,-1,3818
HR118,57,95r,3.6,0,0,,,hrazdan restaurant,2.37,D.unisexualis,f,08092023,2984,546,5,5,0.00141242937853107,,-4,3536
HR119,54,106,2.2,0,0,,,hrazdan restaurant,4.3,D.nairensis,f,08092023,1641,376,31,3,0.00146270112140419,53,,2104
HR12,69,,5.74,,,,,hrazdan restaurant,,D.nairensis,m,12052023,1718,64,41,1,0.00054824561403508,,-1,1823
HR120,55,89r,3,0,0,,,hrazdan restaurant,5.24,D.unisexualis,f,08092023,1349,177,3,1,0.00065359477124183,64,,1594
HR121,57,115,4,0,0,,,hrazdan restaurant,2.52,D.unisexualis,f,08092023,1315,369,19,0,0,101,,1804
HR122,54,100,3.7,0,0,,,hrazdan restaurant,11.73,D.nairensis,f,08092023,2342,751,16,32,0.0101878382680675,88,,3229
HR123,68,55r,5,0,0,,,hrazdan restaurant,63.04,D.armeniaca,f,08092023,1127,17,2,4,0.00347826086956522,,-2,1148
HR124,73,102r,5.6,0,0,,,hrazdan restaurant,45.22,D.armeniaca,f,08092023,5218,125,12,45,0.00833333333333333,,-2,5398
HR125,69,84r,4,0,0,,,hrazdan restaurant,50.32,D.armeniaca,f,08092023,2149,188,51,5,0.00208942749686586,,-1,2392
HR126,54,75r,2,0,0,,,hrazdan restaurant,32.61,D.armeniaca,f,08092023,4020,644,7,11,0.00234942332336608,133,,4815
HR127,65,96r,3.8,0,0,,,hrazdan restaurant,55.4,D.armeniaca,f,08092023,1705,339,13,11,0.00531914893617021,,,2068
HR128,57,103,2.8,0,0,,,hrazdan restaurant,33.04,D.armeniaca,f,08092023,3421,217,9,3,0.00082191780821917,,-2,3648
HR129,57,104,4,0,0,,,hrazdan restaurant,26.88,D.armeniaca,f,08092023,1910,453,7,3,0.00126422250316056,,-3,2370
HR13,68,,6.04,,,,,hrazdan restaurant,,D.nairensis,m,12052023,2153,13,5,12,0.00549702244617499,,,2183
HR130,62,70r,3.6,0,0,,,hrazdan restaurant,36.52,D.armeniaca,f,08092023,1855,113,7,43,0.0213082259663033,,5,2023
HR131,54,85r,2.8,0,0,,,hrazdan restaurant,27.66,D.armeniaca,f,08092023,633,150,17,1,0.00124843945068664,,,801
HR132,55,105,2,0,0,,,hrazdan restaurant,52.61,D.armeniaca,f,08092023,3453,369,17,6,0.00156046814044213,,-4,3841
HR133,53,105,2.6,0,0,,,hrazdan restaurant,28.44,D.armeniaca,f,08092023,,,,,,,,0
HR134,60,110,3,0,0,,,hrazdan restaurant,50.43,D.armeniaca,f,08092023,851,186,35,3,0.0027906976744186,,,1075
HR135,52,100,2,0,0,,,hrazdan restaurant,27.32,D.armeniaca,f,08092023,3202,400,30,2,0.00055035773252614,,,3634
HR136,53,78r,2.2,0,0,,,hrazdan restaurant,24.37,D.armeniaca,f,08092023,2892,295,49,0,0,,,3236
HR137,60,112,3,0,0,,,hrazdan restaurant,28.18,D.armeniaca,f,08092023,3554,293,1,0,0,,,3848
HR138,59,30r,2,0,0,,,hrazdan restaurant,25.5,D.armeniaca,f,08092023,3085,127,14,5,0.00154750851129681,,-1,3230
HR139,54,100,2.2,0,0,,,hrazdan restaurant,50.87,D.armeniaca,f,08092023,2373,365,15,0,0,,,2753
HR14,71,,5.18,,,,,hrazdan restaurant,,D.nairensis,m,12052023,3382,102,5,75,0.021043771043771,,,3564
HR140,59,105,3,0,0,,,hrazdan restaurant,13.46,D.armeniaca,f,08092023,4185,1100,22,9,0.00169300225733634,148,,5464
HR141,58,12r,2.2,0,0,,,hrazdan restaurant,0.81,D.unisexualis,f,10092023,3516,255,10,1,0.0002644103648863,,,3782
HR142,54,47r,2.4,0,0,,,hrazdan restaurant,1.99,D.unisexualis,f,10092023,1387,398,22,4,0.00220872446162341,88,,1899
HR143,68,138,6,0,0,,,hrazdan restaurant,6.5,D.unisexualis,f,10092023,2738,290,6,116,0.0368253968253968,,16,3166
HR144,59,107r,3.6,0,0,,,hrazdan restaurant,2.53,D.unisexualis,f,10092023,3552,427,116,11,0.00267900633219679,170,-1,4275
HR145,58,38r,3.4,0,0,,,hrazdan restaurant,0.95,D.unisexualis,f,10092023,2204,319,4,2,0.00079082641360221,,,2529
HR146,63,83r,3.6,0,0,,,hrazdan restaurant,2.42,D.unisexualis,f,10092023,1518,362,17,12,0.00628601361969618,,,1909
HR147,71,146,6.6,,,0,"0,5",hrazdan restaurant,11.00,D.nairensis,m,10092023,3371,159,6,41,0.011462119094213,,,3577
HR148,70,133,6,,,0,"0,5",hrazdan restaurant,6.90,D.nairensis,m,10092023,3226,125,35,39,0.0113868613138686,,-2,3423
HR149,66,101r,5,,,0,"0,5",hrazdan restaurant,10.00,D.nairensis,m,10092023,1949,286,25,178,0.0730106644790812,,13,2451
HR15,64,,5.47,,,,,hrazdan restaurant,,D.nairensis,m,12052023,4038,167,22,105,0.0242382271468144,,16,4348
HR150,67,118r,4,,,0,1,hrazdan restaurant,,D.nairensis,m,10092023,1433,159,5,14,0.00869025450031037,68,-1,1678
HR151,63,127,3,,,0,"0,5",hrazdan restaurant,18.40,D.nairensis,m,10092023,263,109,6,0,0,,,378
HR152,59,128,3.6,,,0,"0,5",hrazdan restaurant,18.80,D.nairensis,m,10092023,423,512,6,2,0.00212089077412513,-28,,915
HR153,61,41r,3.4,,,0,"0,5",hrazdan restaurant,7.90,D.nairensis,m,10092023,,,,,,,,0
HR154,68,101r,4.6,0,0,,,hrazdan restaurant,,D.nairensis,f,10092023,55,1,4,4,0.0625,,,64
HR155,61,124,3.6,,,0,"0,5",hrazdan restaurant,8.60,D.nairensis,m,10092023,794,449,13,2,0.00158982511923688,99,,1357
HR156,63,137,4.4,,,0,"0,5",hrazdan restaurant,7.90,D.nairensis,m,10092023,2549,816,6,2,0.00059294396679513,374,,3747
HR157,58,124,4,,,0,"0,5",hrazdan restaurant,12.10,D.nairensis,m,10092023,1843,268,6,7,0.00329566854990584,,,2124
HR158,59,120,4.4,,,0,0,hrazdan restaurant,7.10,D.nairensis,m,10092023,755,742,10,2,0.00132538104705103,514,-2,2021
HR159,61,132,5.2,,,0,"0,5",hrazdan restaurant,19.00,D.nairensis,m,10092023,3178,448,10,67,0.0180934377531731,79,7,3789
HR16,68,,6.38,,,,,hrazdan restaurant,,D.nairensis,m,12052023,3845,158,5,7,0.00174346201743462,,,4015
HR160,57,112,3.4,,,0,0,hrazdan restaurant,6.80,D.nairensis,m,10092023,2433,647,10,1,0.00032351989647363,,-1,3090
HR161,59,117,2.8,0,0,,,hrazdan restaurant,2.44,D.nairensis,f,10092023,4717,218,12,10,0.00201734920314706,,,4957
